mode,md_cal,ch,fre,bw,md_n,rate,p_len,target_power,tpower_sta
11ax MCS11 HE40,4,7,2442,1,5,11,8192,16,18
11ax MCS11 HE80,4,36,5180,2,5,11,16384,11,13
11ax MCS11 HE80,4,42,5210,2,5,11,16384,11,13
11ax MCS11 HE80,4,58,5290,2,5,11,16384,11,13
11ax MCS11 HE80,4,106,5530,2,5,11,16384,11,13
11ax MCS11 HE80,4,122,5610,2,5,11,16384,11,13
11ax MCS11 HE80,4,138,5690,2,5,11,16384,11,13
11ax MCS11 HE80,4,155,5775,2,5,11,16384,11,13
